sutton	42.12660	-71.75520
allston	42.35350	-71.13290
millers falls	42.58200	-72.49260
east longmeadow	42.06720	-72.50560
fall river	41.69712	-71.15208
mashpee	41.61810	-70.48540
southwick	42.05110	-72.77060
agawam	42.07020	-72.62270
north adams	42.69550	-73.08000
hanover	42.11755	-70.83655
monument beach	41.71960	-70.61200
stoughton	42.12530	-71.10740
deerfield	42.54060	-72.60720
newton lower falls	42.32990	-71.25620
petersham	42.48980	-72.18930
newton upper falls	42.31290	-71.21950
ashburnham	42.64960	-71.92670
south hamilton	42.61850	-70.85610
south grafton	42.17600	-71.69270
west boylston	42.35840	-71.78380
brighton	42.34780	-71.15660
granville	42.11270	-72.95200
readville	42.24040	-71.13700
shutesbury	42.48200	-72.42130
charlton	42.13790	-71.96640
west chesterfield	42.39030	-72.87090
needham	42.27980	-71.25010
chicopee	42.17198	-72.58960
west roxbury	42.27870	-71.15890
berkley	41.83530	-71.07650
lancaster	42.45100	-71.68680
charlton city	42.14590	-71.98840
dorchester center	42.29180	-71.07170
harwich port	41.67030	-70.07220
belmont	42.39590	-71.17870
nahant	42.42610	-70.92770
acushnet	41.69970	-70.90870
chestnut hill	42.31640	-71.16120
monponsett	42.01850	-70.84750
wellesley hills	42.31060	-71.27470
hyde park	42.25400	-71.12610
foxboro	42.06490	-71.24410
north brookfield	42.26650	-72.08210
newbury	42.78350	-70.84740
rehoboth	41.85150	-71.25450
carlisle	42.52860	-71.35190
hamilton	42.63540	-70.87910
westwood	42.21480	-71.21040
sagamore	41.77030	-70.53370
wilbraham	42.12450	-72.44640
fitchburg	42.57960	-71.80310
middleton	42.59420	-71.01300
waltham	42.37875	-71.23632
ashfield	42.52320	-72.81100
west newton	42.34920	-71.22670
wellesley	42.29450	-71.29920
hardwick	42.34790	-72.22530
barre	42.40970	-72.10840
manomet	41.88820	-70.58100
west chatham	41.68120	-69.99110
weston	42.35890	-71.30010
brant rock	42.08180	-70.64390
natick	42.28750	-71.35740
north reading	42.57620	-71.09433
lowell	42.64092	-71.31760
athol	42.59590	-72.22670
newton	42.35280	-71.18750
north scituate	42.21900	-70.78560
colrain	42.67900	-72.72650
heath	42.68530	-72.83910
north hatfield	42.41120	-72.62230
oakham	42.34800	-72.05130
west dennis	41.66260	-70.16810
norwood	42.18680	-71.20330
swampscott	42.47460	-70.90980
bourne	41.74150	-70.59980
