name	town	access	lat	lng	address	source
Framingham Country Club	Framingham	private	42.29288	-71.47062	Gates St	golfmassachusetts
Franconia Golf Course	Springfield	public	42.064152	-72.539442	619 Dwight Rd	golfmassachusetts
Franklin Country Club	Franklin	public				golfmassachusetts
Fresh Pond Golf Course	Cambridge	public	42.380519	-71.153233	691 Huron Ave	golfmassachusetts
Furnace Brook Golf Club	Quincy	semi	42.25552	-71.026277	74 Reservoir Ave	golfmassachusetts
Gannon Municipal Golf Course	Lynn	public				local
Gardner Municipal Golf Course	Gardner	muni	42.598712	-71.992584	152 Eaton Rd	golfmassachusetts
General Yes Athletic Club	Pittsfield	semi	42.475517	-73.229752	303 Crane Ave	golfmassachusetts
George Wright Golf Course	Hyde Park	public	42.268696	-71.131677	420 W St	golfmassachusetts
Glen Ellen Country Club	Millis	public	42.183729	-71.392894	84 Orchard St	golfmassachusetts
Granite Links Golf Club	Quincy	semi	42.208121	-71.053689	100 Quarry Hills Dr	golfmassachusetts
GreatHorse	Hampden	public	42.070153	-72.434677	128 Wilbraham Rd	golfmassachusetts
Green Harbor Golf Club	Marshfield	public	42.083376	-70.695877	624 Webster St	golfmassachusetts
Greenock Country Club	Lee	semi	42.30158	-73.26096	W Park St	golfmassachusetts
Groton Country Club	Groton	public	42.601041	-71.557932	94 Lovers Ln	golfmassachusetts
Hardwick Crossing Country Club	Gillbertville 	public				local
Harwich Port Golf Club	Harwich Port	semi	41.66997	-70.07779	Forest St	golfmassachusetts
Hatherly Country Club	North Scituate	private	42.22331	-70.75394	Hatherly Rd	golfmassachusetts
Haverhill Country Club	Haverhill	private	42.80857	-71.07905	Brickett Ln	golfmassachusetts
Hawthorne Country Club	North Dartmouth	private	41.617977	-70.980678	970 Tucker Rd	golfmassachusetts
Heather Hill Country Club	Plainville	public	41.99614	-71.345398	149 W Bacon St	golfmassachusetts
Hemlock Ridge Golf Course	Fiskdale	public	42.090781	-72.127918	220 Holland Rd	golfmassachusetts
Heritage Country Club	Charlton	semi	42.13216	-72.02104	Sampson Rd	golfmassachusetts
Heritage Hill Country Club	Lakeville	public	41.836939	-70.949302	17 Heritage Hill Dr	golfmassachusetts
Hickory Hill Golf Course	Methuen	public				local
Hickory Ridge Country Club	Amherst	semi	42.340246	-72.530292	191 W Pomeroy Ln	golfmassachusetts
Hidden Hollow Country Club	Rehoboth	public	41.789768	-71.247292	30 Pierce Ln	golfmassachusetts
Highfields Golf & Country Club	Grafton	public	42.18861	-71.68036	150 McGill Dr	golfmassachusetts
Highland Links	North Truro	public	42.0349	-70.0846	Lighthouse Rd	golfmassachusetts
Hillside Country Club	Rehoboth	semi	41.851319	-71.279787	82 Hillside Ave	golfmassachusetts
Hillview Golf Course	North Reading	public	42.590303	-71.108759	149 N St	golfmassachusetts
Holden Hills Country Club	Holden	public	42.364225	-71.890457	1800 Main St	golfmassachusetts
Holly Ridge Golf Club	Sandwich	public	41.68355	-70.45448	121 Country Club Rd	golfmassachusetts
Holyoke Country Club	Holyoke	semi	42.2042	-72.6167	Route 5 Smiths Ferry Rd	golfmassachusetts
Hopedale Country Club	Hopedale	semi	42.1354	-71.5466	Off Mill St	golfmassachusetts
Hopkinton Country Club	Hopkinton	private	42.23193	-71.542314	204 Saddle Hill Rd	golfmassachusetts
Hyannis Golf Club	Hyannis	public	41.6476	-70.2968	Route 132	golfmassachusetts
Hyannisport Club	Hyannis Port	private	41.6378	-70.3	Irving Ave	golfmassachusetts
Indian Meadows Golf Club	Westborough	semi	42.283031	-71.646622	275 Turnpike Rd	golfmassachusetts
Indian Pond Country Club	Kingston	private	41.977628	-70.740992	60 Country Club Way	golfmassachusetts
Ipswich Country Club	Ipswich	private	42.693806	-70.898162	148 Country Club Way	golfmassachusetts
James Brown Golf Club	North Attleboro	public				local
John F. Parker Municipal Golf Course	Taunton	muni	41.897056	-71.125322	17 Fisher St	golfmassachusetts
Juniper Hill Golf Course	Northborough	public	42.3111	-71.62735	202 Brigham St	golfmassachusetts
Kelley Greens Golf Course	Nahant	public	42.421223	-70.929537	1 Willow Rd	golfmassachusetts
Kernwood Country Club	Salem	private	42.537071	-70.903787	1 Kernwood Ave	golfmassachusetts
Kettle Brook Golf Club	Paxton	semi	42.286599	-71.930904	136 Marshall Street	golfmassachusetts
Kimball Farm Golf Club	Littleton	public	42.551656	-71.456575	400 Littleton Road (Rt. 110)	golfmassachusetts
King Rail Reserve Golf Course	Lynnfield	public				local
